period,group,sex,metric,value_pct
Apr-Jun 2023,Disabled,People,Economically inactive,42.9588560199724
Apr-Jun 2023,Non-disabled,People,In Employment,82.1144539911437
Apr-Jun 2023,Non-disabled,People,Unemployed,3.6188761171896
Apr-Jun 2023,Non-disabled,People,Economically active,85.1976514519446
Apr-Jun 2023,Non-disabled,People,Economically inactive,14.8023485480554
Jul-Sep 2023,Disabled,People,In Employment,53.6077997020906
Jul-Sep 2023,Disabled,People,Unemployed,6.89102664187965
Jul-Sep 2023,Disabled,People,Economically active,57.5753311078854
Jul-Sep 2023,Disabled,People,Economically inactive,42.4246688921146
Jul-Sep 2023,Non-disabled,People,In Employment,81.8564205170849
Jul-Sep 2023,Non-disabled,People,Unemployed,3.83231534605692
Jul-Sep 2023,Non-disabled,People,Economically active,85.1184270596127
Jul-Sep 2023,Non-disabled,People,Economically inactive,14.8815729403873
Oct-Dec 2023,Disabled,People,In Employment,53.9595887831683
Oct-Dec 2023,Disabled,People,Unemployed,5.61275966254686
Oct-Dec 2023,Disabled,People,Economically active,57.1683085449389
Oct-Dec 2023,Disabled,People,Economically inactive,42.8316914550611
Oct-Dec 2023,Non-disabled,People,In Employment,81.9660800031949
Oct-Dec 2023,Non-disabled,People,Unemployed,3.55502021177308
Oct-Dec 2023,Non-disabled,People,Economically active,84.987399223034
Oct-Dec 2023,Non-disabled,People,Economically inactive,15.012600776966
Jan-Mar 2024,Disabled,People,In Employment,52.9705487562332
Jan-Mar 2024,Disabled,People,Unemployed,7.7718688286928
Jan-Mar 2024,Disabled,People,Economically active,57.4342644521813
Jan-Mar 2024,Disabled,People,Economically inactive,42.5657355478187
Jan-Mar 2024,Non-disabled,People,In Employment,81.7307634403781
Jan-Mar 2024,Non-disabled,People,Unemployed,3.60163292151847
Jan-Mar 2024,Non-disabled,People,Economically active,84.7843857913465
Jan-Mar 2024,Non-disabled,People,Economically inactive,15.2156142086536
Apr-Jun 2024,Disabled,People,In Employment,53.0819151096621
Apr-Jun 2024,Disabled,People,Unemployed,6.92646434590936
Apr-Jun 2024,Disabled,People,Economically active,57.0322323489912
Apr-Jun 2024,Disabled,People,Economically inactive,42.9677676510088
Apr-Jun 2024,Non-disabled,People,In Employment,81.6243762221511
Apr-Jun 2024,Non-disabled,People,Unemployed,3.60340099539601
Apr-Jun 2024,Non-disabled,People,Economically active,84.6755767993979
Apr-Jun 2024,Non-disabled,People,Economically inactive,15.3244232006021
Jul-Sep 2024,Disabled,People,In Employment,54.4965756696628
Jul-Sep 2024,Disabled,People,Unemployed,6.73663260017794
Jul-Sep 2024,Disabled,People,Economically active,58.4329916332903
Jul-Sep 2024,Disabled,People,Economically inactive,41.5670083667097
Jul-Sep 2024,Non-disabled,People,In Employment,81.9491907783755
Jul-Sep 2024,Non-disabled,People,Unemployed,3.98546145425553
Jul-Sep 2024,Non-disabled,People,Economically active,85.3508145949503
Jul-Sep 2024,Non-disabled,People,Economically inactive,14.6491854050497
Oct-Dec 2024,Disabled,People,In Employment,54.019402665738
Oct-Dec 2024,Disabled,People,Unemployed,7.20498330264498
Oct-Dec 2024,Disabled,People,Economically active,58.2136892565242
Oct-Dec 2024,Disabled,People,Economically inactive,41.7863107434758
Oct-Dec 2024,Non-disabled,People,In Employment,82.2033630672685
Oct-Dec 2024,Non-disabled,People,Unemployed,3.74730700382728
Oct-Dec 2024,Non-disabled,People,Economically active,85.4037019728239
Oct-Dec 2024,Non-disabled,People,Economically inactive,14.5962980271761
Jan-Mar 2025,Disabled,People,In Employment,53.9653335906218
Jan-Mar 2025,Disabled,People,Unemployed,7.73351109509892
